"caseid","Treated","Treated_timer","weight_w2","Salience_1","Salience_2","Salience_3","Concern_humanity","Concern_myself","Govt","Highway","Policy_tax","Policy_goal","Behavior_donate","Behavior_march","Concern_humanity_w2","Concern_myself_w2","Govt_w2","Highway_w2","Policy_tax_w2","Policy_goal_w2","Behavior_donate_w2","Behavior_march_w2","Control_heardaction","Salience_1_w2","Salience_2_w2","Salience_3_w2","FT_next_block","FT_next","region","gender","age","profile_age_rec","hovedstaden","FT_next_wing","SalienceClim_any","SalienceClim_any_w2","SalienceClim_noenv","Manipulation_answer","Manipulation_correct","Manipulation_protest","SalienceClim_any_diff","Concern_humanity_diff","Concern_myself_diff","Govt_diff","Highway_diff","Policy_tax_diff","Policy_goal_diff","Behavior_donate_diff","Behavior_march_diff","Concern_diff","Policy_diff","Behavior_diff","Concern","Policy","Behavior","Concern_w2","Policy_w2","Behavior_w2"
5698337388,0,20.325,1.39965567421,"Ældre og handikap området","Læge og sygehus og psykiatri","Økonomi",6,6,3,5,4,4,5,1,6,6,3,4,4,4,5,1,1,"Hjælp til de børn der vokser op i et hjem så ikke har overskud til dem eller økonomi ikke er i orden","Hjælp til handikappet med spykisk eller fysik udfordringer","At vi står over for uvisse fremtid med fred og samarbejde med andre lande og de følger der er med stigende uro i andre lande",1,"Ø. Enhedslisten - De Rød-Grønne","Southern Denmark","Female",34,"18-34",FALSE,"left",FALSE,FALSE,FALSE,"At vi skal presse udvikling og reducere co2",1,0,0,0,0,0,-1,0,0,0,0,0,0,0,6,4,3,6,4,3
5698337390,1,43.199,1.22539677105,"FE","Vurderinger","Arbejdsstyrken mm",7,7,4,3,5,4,5,2,7,7,3,3,4,4,4,4,NA,"Regeringen","Klimaet","Sundhed og Sygehuse",NA,"Ved ikke","Southern Denmark","Female",63,"55+",FALSE,"other",FALSE,TRUE,FALSE,"Nej til flere motorveje",1,0,1,0,0,-1,0,-1,0,-1,2,0,-0.5,0.5,7,4.5,3.5,7,4,4
5698337392,0,0,0.521438518709,"Klima","Sundhed","Miljø",7,6,5,4,5,4,7,7,7,7,3,4,5,5,7,5,0,"Sikkerhed","Klima","Sundhed",1,"F. SF - Socialistisk Folkeparti","Capital region","Male",73,"55+",TRUE,"left",TRUE,TRUE,TRUE,NA,0,0,0,0,1,-2,0,0,1,0,-2,0.5,0.5,-1,6.5,4.5,7,7,5,6
5698337394,1,43.925,0.687435401644,"Stress pga arbejdskulturen","Homofobi","Sundhed",5,5,6,NA,3,4,1,1,5,6,6,NA,3,NA,1,1,NA,"Stress","Økonomi","Dyrevelfærd",1,"Å. Alternativet","Capital region","Female",33,"18-34",TRUE,"left",FALSE,FALSE,FALSE,"Klimaforandringer",1,0,0,0,1,0,NA,0,NA,0,0,0.5,0,0,5,3,1,5.5,3,1
5698372922,0,0,1.2562057319,"sundhedssystem","manglende disciplin i skoler","dårlig pleje af ældre og udsatte borgere",3,3,4,3,3,3,1,1,4,4,4,3,2,3,1,1,1,"sygehuse","skoler","Krig",2,"C. Det Konservative Folkeparti","Zealand","Female",50,"35-54",FALSE,"right",FALSE,FALSE,FALSE,"Ved ikke",0,0,0,1,1,0,0,-1,0,0,0,1,-0.5,0,3,3,1,4,2.5,1
5698372924,0,0,1.4852295591,"Inflation","Indvandrere og flygtninge","Ældreplejen",6,4,3,4,1,3,1,1,5,4,4,3,1,4,1,1,1,"Inflationen","Terrortrussel","Indvandrere",3,"M. Moderaterne","Zealand","Female",55,"55+",FALSE,"right",FALSE,FALSE,FALSE,"Forurening med biler",1,0,0,-1,0,1,-1,0,1,0,0,-0.5,0.5,0,5,2,1,4.5,2.5,1
5698372926,0,0,0.643393365977,"for høj skat","indvandring fra ikkevestlige lande","for høje overførselsindkomster",4,4,4,1,1,3,1,1,4,1,2,1,1,2,1,1,1,"invasionen af ikke-vestlige indvandrere","det ekstreme skattetryk","den alt for store offentlige sektor",2,"V. Venstre, Danmarks Liberale Parti","Capital region","Female",47,"35-54",TRUE,"right",FALSE,FALSE,FALSE,"miljø-fanatisme",1,0,0,0,-3,-2,0,0,-1,0,0,-1.5,-0.5,0,4,2,1,2.5,1.5,1
5698372930,0,0,1.24660952724,"Klima","Ansatte i velfærden","Inflation",7,5,6,5,5,4,4,5,7,5,5,5,4,4,5,5,0,"Klimaforandringerne","Demokratisk gennemsigtighed","Inflation",1,"F. SF - Socialistisk Folkeparti","Capital region","Male",28,"18-34",TRUE,"left",TRUE,TRUE,TRUE,NA,0,0,0,0,0,-1,0,-1,0,1,0,0,-0.5,0.5,6,4.5,4.5,6,4,5
5698372932,1,53.262,0.576652232053,"Læger","Plejehjem","Forurening i havet",6,6,5,4,4,3,4,1,7,6,4,4,4,3,2,1,NA,"Personale hospitaler","Klima","",1,"F. SF - Socialistisk Folkeparti","Capital region","Female",58,"55+",TRUE,"left",TRUE,TRUE,FALSE,"Motorveje",1,0,0,1,0,-1,0,0,0,-2,0,0.5,0,-1,6,3.5,2.5,6.5,3.5,1.5
5698390630,1,7.13,1.3380885417,"Udlændinge","Penge der bruges i andre lande i stedet for at bruge dem herhjemme","Magt misbrog",4,4,4,4,3,2,5,4,4,4,5,4,3,2,6,2,NA,"Kriminalitet","Indvandring","Klima",2,"I. Liberal Alliance","Southern Denmark","Male",50,"35-54",FALSE,"right",FALSE,TRUE,FALSE,"Ved ikke",0,0,1,0,0,1,0,0,0,1,-2,0,0,-0.5,4,2.5,4.5,4,2.5,4
5698437098,0,0,1.3143564053,"Mangel på arbejdskraft","Udfordringer i sygehusvæsenet","",5,4,3,2,3,4,4,1,6,5,4,2,3,3,4,1,0,"Sygehusvæsenet","Grundskole og ungdomsuddannelser","Klima",NA,"Ved ikke","Southern Denmark","Female",50,"35-54",FALSE,"other",FALSE,TRUE,FALSE,NA,0,0,1,1,1,1,0,0,-1,0,0,1,-0.5,0,4.5,3.5,2.5,5.5,3,2.5
5698437106,1,388.153,0.734538285415,"klima","krig i verden","inflation - høj rente",6,3,4,4,4,4,1,4,5,5,3,2,5,4,1,4,NA,"sundhedssystemet","klima","militær opristning / krig",1,"A. Socialdemokratiet","Capital region","Male",47,"35-54",TRUE,"left",TRUE,TRUE,TRUE,"klima",1,0,0,-1,2,-1,-2,1,0,0,0,0.5,0.5,0,4.5,4,2.5,5,4.5,2.5
5698437110,0,0,1.31931356257,"mangel på personale i sundhedssektoren","tanker om sænkelse af arveavgifter sænkning at topskatter","vandmiljø",6,3,6,3,4,4,2,2,6,2,3,3,3,4,2,2,0,"Stigende ulighed (malplacerede skattelettelser ikke minds på arveafgiftsområdet)","dårlig fastholdelse af militært personel","Mangler i sundhedsvæsnet",1,"A. Socialdemokratiet","Middle Jutland","Male",71,"55+",FALSE,"left",TRUE,FALSE,FALSE,NA,0,0,-1,0,-1,-3,0,-1,0,0,0,-0.5,-0.5,0,4.5,4,2,4,3.5,2
5698437128,0,0,0.734538285415,"Vi sakker bagud på digitalisering og grøn omstilling","Vores uddannelser bør fundamentalt ændres","Folkesundheden skal løftes",5,5,3,4,2,2,7,2,6,4,7,2,1,3,2,2,1,"Manglende innovation","Lav teknologiadaption","Dårlige forhold for succesfulde startups",2,"I. Liberal Alliance","Capital region","Male",47,"35-54",TRUE,"right",FALSE,FALSE,FALSE,"At de (Nødbremsen) ikke forstår klimaudfordringen",1,0,0,1,-1,4,-2,-1,1,-5,0,0,0,-2.5,5,2,4.5,5,2,2
5698437130,1,33.532,0.643393365977,"Racisme","Negativitet","Individualisme",5,5,6,3,1,3,3,2,5,5,7,2,1,4,1,4,NA,"Afgiftsstigninger ovenpå inflation","Klima","Forværret offentlig velfærd",1,"F. SF - Socialistisk Folkeparti","Capital region","Female",38,"35-54",TRUE,"left",FALSE,TRUE,FALSE,"Klimakrise",1,0,1,0,0,1,-1,0,1,-2,2,0,0.5,0,5,2,2.5,5,2.5,2.5
5698438170,0,0,1.27282691501,"indvandring","økonomi","skat",5,5,6,5,4,3,4,4,5,5,4,4,4,2,4,4,0,"overtal af iranske sygeplejersker og læger","miljø","ældrepleje",1,"F. SF - Socialistisk Folkeparti","Middle Jutland","Female",63,"55+",FALSE,"left",FALSE,TRUE,FALSE,NA,0,0,1,0,0,-2,-1,0,-1,0,0,0,-0.5,0,5,3.5,4,5,3,4
5698471684,0,0,1.07403862654,"Ukraine","Socialområdet ældre","Psykiatrien",5,6,2,2,4,4,6,6,4,4,3,3,4,4,5,5,1,"Trusler mod dk sikkerhed ( Israel)","Ukraike","Sundhedsområdet",1,"A. Socialdemokratiet","Middle Jutland","Female",42,"35-54",FALSE,"left",FALSE,FALSE,FALSE,"Klimaet",1,0,0,-1,-2,1,1,0,0,-1,-1,-1.5,0,-1,5.5,4,6,4,4,5
5698471686,0,0,0.521438518709,"Indvandring","Politisk inkompetance","Sammenhængkraften",3,3,5,5,1,1,1,1,5,4,3,5,1,2,1,1,0,"Indvandring","Folkeskoler","Pensioner",2,"I. Liberal Alliance","Capital region","Male",77,"55+",TRUE,"right",FALSE,FALSE,FALSE,NA,0,0,0,2,1,-2,0,0,1,0,0,1.5,0.5,0,3,1,1,4.5,1.5,1
5698471694,0,0,1.03086538673,"Ved ikke","","",4,4,4,3,3,3,4,4,4,4,4,3,3,3,4,4,0,"Ved ikke","","",2,"C. Det Konservative Folkeparti","North Jutland","Female",47,"35-54",FALSE,"right",FALSE,FALSE,FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,3,4
5698471698,1,6077.084,0.687435401644,"Klima","Sundhedsvæsen","Pres for at arbejde sit liv væk",7,5,6,4,4,5,4,1,7,6,7,4,4,5,3,2,NA,"Klima","Sundhedsvæsnet","Overarbejde",NA,"Ved ikke","Capital region","Female",34,"18-34",TRUE,"other",TRUE,TRUE,TRUE,"Anlægning af nye motorveje",1,0,0,0,1,1,0,0,0,-1,1,0.5,0,0,6,4.5,2.5,6.5,4.5,2.5
